Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
FBN_306.F	FBN_306.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1400424.0	204.4 Mbp	0.0	146.0	41.0	8.288713748425728	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
FBN_306.R	FBN_306.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1400424.0	211.4 Mbp	0.0	151.0	45.0	13.540264627575011	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
FBN_306.R1	FBN_306.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1384098.0	200.5 Mbp	0.0	31-146	41.0	7.962731120030559	144.89213119302246	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
FBN_306.R2	FBN_306.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1384098.0	206.9 Mbp	0.0	31-151	45.0	12.668202723381864	149.57426425007478	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
FBN_307.F	FBN_307.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2156404.0	314.8 Mbp	0.0	146.0	41.0	5.897636111932908	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
FBN_307.R	FBN_307.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2156404.0	325.6 Mbp	0.0	151.0	45.0	10.818716175365422	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
FBN_307.R1	FBN_307.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2140148.0	311.1 Mbp	0.0	31-146	41.0	5.711461787563926	145.4087207987485	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
FBN_307.R2	FBN_307.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2140148.0	321.2 Mbp	0.0	31-151	45.0	10.356446371372613	150.12321110502637	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
FBN_308.F	FBN_308.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3784777.0	552.5 Mbp	0.0	146.0	41.0	6.208560737649877	146.0	146	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
FBN_308.R	FBN_308.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3784777.0	571.5 Mbp	0.0	151.0	46.0	10.804391780098596	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
FBN_308.R1	FBN_308.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3750926.0	544.7 Mbp	0.0	31-146	41.0	5.901301968856841	145.23555010149494	146	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
FBN_308.R2	FBN_308.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3750926.0	562.2 Mbp	0.0	31-151	46.0	9.985835613997716	149.9127276837773	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
FBN_309.F	FBN_309.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	813175.0	118.7 Mbp	0.0	146.0	42.0	11.710763365819165	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
FBN_309.R	FBN_309.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	813175.0	122.7 Mbp	0.0	151.0	46.0	18.172752033097424	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
FBN_309.R1	FBN_309.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	801960.0	116 Mbp	0.0	31-146	42.0	11.34108933113871	144.7153685969375	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
FBN_309.R2	FBN_309.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	801960.0	119.7 Mbp	0.0	21-151	45.0	17.10602450081805	149.34023392687914	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
